region_id,area_px,area_km2,fill_ratio,bbox_aspect,centroid_row,centroid_col,geo_x,geo_y,dist_from_centre_km,bbox_r0,bbox_c0,bbox_r1,bbox_c1,slope_mean_deg,slope_std_deg,slope_max_deg,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,pct_gt25,shadow_fraction,shadow_std,shadow_valid_px,dfsar_cpr_mean,dfsar_cpr_median,dfsar_cpr_std,dfsar_valid_pct,dfsar_cov_mean,minirf_s1_log_mean,minirf_s1_log_median,minirf_s1_log_std,minirf_valid_pct,minirf_cov_mean,m3_b09_750nm,m3_b22_1010nm,m3_b56_1818nm,m3_b61_2018nm,m3_b74_2537nm,m3_b81_2817nm,m3_b84_2936nm,m3_b85_2976nm,m3_valid_px,m3_valid_pct,grail_anom_context,grail_boug_context,psr_fraction,dist_to_psr_km,illumination_mean,illumination_min,qualification_status,disqualification_reason,BD1000,BD2000,OH_SPECTRAL_INDICATOR,ICE_SPECTRAL_INDICATOR,dfsar_ok,minirf_ok,radar_flag,dfsar_cpr_class,cpr_norm,s1_norm,Radar_Score,radar_data_source,ICE_SPECTRAL_INDICATOR_norm,OH_SPECTRAL_INDICATOR_norm,BD1000_norm,BD2000_norm,Science_Composite,Evidence_Convergence_Count,evidence_band,n_valid_spectral,rank_by_composite_only,rank
24844,364,0.2275,0.5014,1.5,3305.851648,1766.648352,-1309.291209,-37170.79121,37.1943,3291,1758,3324,1780,3.7375,2.2496,11.7166,2.9787,1.1645,-1855.1422,1,0,1,0,364,0.185429,0.18723,0.025791,1,1,0.048525,0.047439,0.005656,1,1,0.001314,0.002769,0.002842,0.003661,0.004643,0.002357,0.004603,0.003838,364,1,64.5725,120.1906,0.032967,0,0.003642,0.000432,QUALIFIED,,-1.107306,-0.288177,0.492354,0.166196,TRUE,TRUE,BOTH,normal_low,0.203557015,0.070128247,0.136843,BOTH,0.007487,0.041791,0,0,0.051657,0,LOW_CONVERGENCE,4,948,1049
615,189,0.118125,0.5526,1.06,217.2592593,1186.412698,-15815.18254,40044.01852,43.0533,208,1178,227,1196,5.9416,2.7239,18.6436,5.6119,1.911,-956.6779,1,0,0.2849,0.37,189,,,,0,0,0.112214,0.106968,0.027448,1,1,0.06426,0.086431,0.116528,0.121061,0.159616,0.156701,0.174207,0.165111,189,1,46.1389,95.783,0,34.059599,,,QUALIFIED,,-0.34502,-0.038901,0.018263,0.052214,FALSE,TRUE,S1_ONLY,no_data,,0.168135751,0.168136,S1_ONLY,0.002352,0.00155,0,0,0.051456,0,LOW_CONVERGENCE,4,951,1050
26088,320,0.2,0.5861,1.24,3558.5625,1638.59375,-4510.65625,-43488.5625,43.7223,3547,1628,3568,1654,7.5076,3.596,20.2712,5.5648,1.8977,-2105.9852,1,0,1,0,320,0.245201,0.234626,0.057001,1,1,0.039439,0.038535,0.007619,1,1,-0.000774,0.000846,-0.000671,0.000137,0.002302,0.00356,0.001863,0.00331,320,1,64.5725,120.1906,0,0.509902,,,QUALIFIED,,,,-0.546481,-0.776704,TRUE,TRUE,BOTH,normal_low,0.286796347,0.056146301,0.171471,BOTH,0,0,0,0,0.051441,0,LOW_CONVERGENCE,2,952,1051
17796,498,0.31125,0.6426,1.24,2449.5,2775.487952,23911.6988,-15762,28.64,2438,2760,2463,2791,7.0343,3.0345,16.5616,6.235,1.8346,2203.7085,1,0,0.0179,0.0987,498,,,,0,0,0.114229,0.111803,0.014797,1,1,-0.001114,0.000507,0.000257,-0.000637,-0.000706,-0.000865,-0.002202,-0.004227,498,1,206.9462,82.5201,0,7.820885,,,QUALIFIED,,,,,,FALSE,TRUE,S1_ONLY,no_data,,0.171236524,0.171237,S1_ONLY,0,0,0,0,0.051371,0,LOW_CONVERGENCE,0,953,1052
6875,514,0.32125,0.5411,1.52,1151.782101,2658.622568,20990.0642,16680.94747,26.8112,1142,2642,1167,2680,9.5626,2.9727,26.0058,7.9744,1.679,-1976.0351,1,0.0019,0.8391,0.3418,514,0.25211,0.245885,0.046241,1,1,0.032875,0.034213,0.007925,1,1,0.000785,0.003595,7.00E-05,-0.001236,0.000455,-0.003895,-0.006367,-0.005867,514,1,33.734,87.2227,0,7.506039,,,QUALIFIED,,,,,,TRUE,TRUE,BOTH,normal_low,0.296417918,0.046045322,0.171232,BOTH,0,0,0,0,0.05137,0,LOW_CONVERGENCE,0,954,1053
25910,711,0.444375,0.4575,1.14,3485,1795.872011,-578.6997187,-41649.5,41.654,3466,1776,3508,1813,7.6849,3.8869,24.1867,6.2098,2.1493,-2061.2625,1,0,0.9887,0.096,711,0.210601,0.205237,0.038213,1,1,0.046518,0.045177,0.005089,1,1,-6.30E-05,-0.000335,0.002376,0.001463,0.000363,0.001846,-0.002239,-0.001333,711,1,64.5725,120.1906,0.02391,0,0.003008,0.000317,QUALIFIED,,,0.384259,,,TRUE,TRUE,BOTH,normal_low,0.238611898,0.067039785,0.152826,BOTH,0,0,0,0.053981,0.051246,0,LOW_CONVERGENCE,1,956,1054
22023,634,0.39625,0.5176,1.96,2909.776025,2447.788644,15719.21609,-27268.90063,31.4759,2898,2424,2923,2473,7.0509,4.701,25.9176,5.1056,2.2553,-600.086,1,0.0032,1,0,634,,,,0,0,0.072051,0.072001,0.01132,1,1,0.003391,0.001367,0.00081,0.001094,0.004382,0.001532,0.003204,0.002277,634,1,121.4255,96.4448,0,0.657647,,,QUALIFIED,,0.596874,,0.650388,0.289326,FALSE,TRUE,S1_ONLY,no_data,,0.106331116,0.106331,S1_ONLY,0.013033,0.055205,0.04185,0,0.051035,0,LOW_CONVERGENCE,3,958,1055
759,132,0.0825,0.6111,1.5,269.0757576,1664.409091,-3865.272727,38748.60606,38.9404,264,1656,276,1674,3.7245,1.5531,9.4846,3.5836,1.1171,-2197.8891,1,0,0.1955,0.3416,132,,,,0,0,0.110082,0.109426,0.013901,1,1,0.001277,0.001007,-0.001152,-0.001226,0.002829,0.00334,9.40E-05,-0.002335,132,1,24.6404,85.2909,0,28.960156,,,QUALIFIED,,0.211433,,-0.180629,,FALSE,TRUE,S1_ONLY,no_data,,0.164854933,0.164855,S1_ONLY,0,0,0.014825,0,0.050939,0,LOW_CONVERGENCE,2,959,1056
4593,323,0.201875,0.5608,1,878.3095975,1403.318885,-10392.52786,23517.76006,25.711,867,1393,891,1417,10.2089,4.0582,21.2677,9.0848,3.2733,-3397.9599,1,0,1,0,323,0.23933,0.222636,0.068187,1,1,0.04253,0.042715,0.003567,1,1,0.00045,0.001046,0.000512,-0.000543,-0.001925,-0.00345,-0.001762,-0.001757,323,1,-19.4926,68.1002,0,20.808307,,,QUALIFIED,,,,,,TRUE,TRUE,BOTH,normal_low,0.278620309,0.060902871,0.169762,BOTH,0,0,0,0,0.050929,0,LOW_CONVERGENCE,0,960,1057
21038,1583,0.989375,0.516,1.13,2809.814277,1646.760581,-4306.485471,-24769.85692,25.1418,2782,1614,2834,1673,8.25,4.2187,26.9456,6.7224,3.1266,-207.7412,1,0.0006,0.0945,0.2572,1583,0.168465,0.165595,0.03282,1,1,0.068206,0.065653,0.014173,1,1,0.008199,0.00381,0.001966,0.00126,-0.000126,-0.001426,-0.003309,-0.006519,1583,1,73.237,102.5391,0,3.487926,,,QUALIFIED,,0.535309,0.359105,,,TRUE,TRUE,BOTH,normal_low,0.179932709,0.100414257,0.140173,BOTH,0,0,0.037533,0.050447,0.05085,0,LOW_CONVERGENCE,2,963,1058
