region_id,geo_x,geo_y,area_km2,dist_from_centre_km,slope_mean_deg,slope_std_deg,slope_max_deg,pct_gt25,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,psr_fraction,dist_to_psr_km,shadow_fraction,shadow_std,dfsar_valid_pct,minirf_valid_pct,qualification_status
23149,-6904.693548387098,-30753.612903225803,0.19375,31.5196,7.6939,3.5486,17.109,0.0,7.0849,2.2502,-1708.2741,1.0,0.0,5.728274,0.0308,0.1339,1.0,1.0,QUALIFIED
23194,-12990.16417910448,-30380.917910447766,0.41875,33.0418,7.1176,3.79,21.0473,0.0,6.1022,2.5948,-696.4448,1.0,0.0,8.193938,0.2837,0.4099,1.0,1.0,QUALIFIED
23253,-12544.42123287671,-30931.648972602736,0.365,33.3789,7.8388,3.628,22.852,0.0,6.7303,2.4802,-693.0391,1.0,0.0,8.244885,0.3101,0.4318,1.0,1.0,QUALIFIED
23262,-9431.354523950322,-31225.10615020698,2.11375,32.6187,10.5236,4.7656,29.7519,0.0044,9.0222,3.7423,-1355.481,1.0,0.0,7.115344,0.0241,0.1264,1.0,1.0,QUALIFIED
23316,14718.885593220344,-31175.45338983051,0.1475,34.4761,6.8448,4.5686,20.6791,0.0,6.4666,4.0092,-76.4971,1.0,0.0,1.840007,0.0908,0.2417,1.0,1.0,QUALIFIED
23321,-2904.5123456790097,-31166.78395061729,0.455625,31.3023,9.9617,2.5063,17.436,0.0,8.6976,1.6873,-1675.3607,1.0,0.0,1.785532,0.0364,0.161,0.890261,1.0,QUALIFIED
23327,-8283.015337423312,-31164.99079754601,0.101875,32.2473,10.3252,3.4691,21.9137,0.0,9.1131,1.3728,-1504.0861,1.0,0.0,6.856247,0.014,0.1109,1.0,1.0,QUALIFIED
23394,-5347.589761570831,-31513.349929873773,0.445625,31.9643,6.6032,3.8159,23.6458,0.0,5.3433,2.8339,-1810.1681,1.0,0.0,3.678485,0.6444,0.4522,1.0,1.0,QUALIFIED
23400,-6330.616959064326,-31439.11988304094,0.106875,32.0705,5.1924,3.4192,20.9339,0.0,4.0676,1.7298,-1772.9469,1.0,0.0,4.941913,0.3268,0.4101,1.0,1.0,QUALIFIED
23415,-8651.577097505666,-31303.41156462585,0.275625,32.4773,9.6025,3.0861,21.5546,0.0,8.3518,1.9674,-1451.1398,1.0,0.0,7.037844,0.01,0.0872,1.0,1.0,QUALIFIED
23424,15678.594650205763,-31407.792181069963,0.759375,35.1043,10.4288,3.9812,23.4961,0.0,9.1022,3.1638,-75.5985,1.0,0.0,2.104311,0.7872,0.3899,1.0,1.0,QUALIFIED
23455,-6376.323045267491,-31575.32304526749,0.151875,32.2131,6.2269,4.0157,19.3937,0.0,5.185,3.0347,-1773.8339,1.0,0.0,4.786243,0.1641,0.3094,1.0,1.0,QUALIFIED
23515,-4290.300995024874,-31732.128524046435,0.376875,32.0213,6.8986,3.9489,21.0394,0.0,4.7891,1.7281,-1801.7765,1.0,0.0,2.836591,0.3684,0.4131,0.963516,1.0,QUALIFIED
23521,-5615.805584826128,-32327.92465753424,0.593125,32.8125,6.3424,4.0776,29.8808,0.0032,4.875,2.6993,-1807.4239,1.0,0.0,3.640055,0.659,0.4205,0.796628,1.0,QUALIFIED
23522,1850.253768844217,-32147.615577889446,0.124375,32.2013,6.1954,3.3632,27.4507,0.005,5.8568,2.4503,-1604.9282,1.0,0.0,1.375909,0.123,0.2619,0.0,1.0,QUALIFIED
23583,-8820.232937685461,-32109.663204747776,0.210625,33.2994,5.193,2.4341,13.0121,0.0,4.7289,1.6189,-1490.8045,1.0,0.0,6.997321,0.1002,0.2408,1.0,1.0,QUALIFIED
23611,-12786.950381679391,-32156.75190839696,0.081875,34.6061,5.4591,3.023,18.9964,0.0,4.8177,1.0452,-560.5127,1.0,0.0,7.907947,0.2699,0.4052,1.0,1.0,QUALIFIED
23614,1346.2839805825206,-32132.995145631063,0.2575,32.1617,10.0054,2.8828,28.8466,0.0073,9.0497,1.7556,-1637.5858,1.0,0.0,1.201301,0.1092,0.2472,0.0,1.0,QUALIFIED
23627,2509.792887029289,-32081.90585774058,0.746875,32.1805,7.6003,3.9634,21.7601,0.0,6.5564,2.9058,-1621.1548,1.0,0.0,1.184536,0.1107,0.2611,0.029289,1.0,QUALIFIED
23628,17038.250000000007,-32324.84090909091,0.1375,36.541,5.1212,2.5457,12.0277,0.0,4.6527,2.2714,4.7405,1.0,0.0,3.319356,0.0935,0.2546,0.790909,1.0,QUALIFIED
23655,-4902.00905432595,-32607.19617706237,0.310625,32.974,7.122,3.9813,21.8919,0.0,5.352,2.3845,-1813.3395,1.0,0.0,3.046001,0.6022,0.4335,0.004024,1.0,QUALIFIED
23663,-6820.55051590714,-31772.742691315565,2.9075,32.497,8.6134,4.5257,29.1747,0.0028,7.1702,3.1766,-1744.8073,1.0,0.0,4.215448,0.1479,0.3171,1.0,1.0,QUALIFIED
23664,-1053.4872673849168,-32436.179725759062,0.638125,32.4538,5.1477,2.8923,18.6571,0.0,4.2033,1.9347,-1801.0314,1.0,0.000979,0.0,0.1646,0.3321,0.0,1.0,QUALIFIED
23714,-3354.290983606559,-32744.17213114754,0.1525,32.916,3.8019,2.4564,13.2401,0.0,2.9085,1.5984,-1828.5992,1.0,0.0,1.622498,0.5928,0.4121,0.0,1.0,QUALIFIED
23721,-398.0267379679135,-32853.778074866306,0.4675,32.8567,5.062,2.8411,22.2311,0.0,3.8454,1.3152,-1804.8919,1.0,0.032086,0.0,0.6006,0.4427,0.0,1.0,QUALIFIED
23756,-5337.877450980392,-32670.333333333343,0.1275,33.1039,5.7807,3.5072,21.386,0.0,5.0958,2.865,-1815.4384,1.0,0.0,3.530227,0.6867,0.396,0.0,1.0,QUALIFIED
23777,-2532.722222222219,-32926.72222222222,0.1125,33.0244,5.3133,3.5513,15.7468,0.0,3.7,1.2584,-1820.4229,1.0,0.0,0.921954,0.5969,0.4318,0.0,1.0,QUALIFIED
23778,-1434.2786259541972,-32967.82061068702,0.081875,32.9995,4.4505,2.5262,15.9803,0.0,3.5781,1.1231,-1805.9789,1.0,0.0,0.05,0.1331,0.2775,0.0,1.0,QUALIFIED
23817,-815.2326852976912,-33432.033414337784,0.514375,33.4425,6.7978,4.3643,24.5853,0.0,5.0554,2.2081,-1822.3633,1.0,0.030377,0.0,0.5971,0.4405,0.0,1.0,QUALIFIED
23824,-3140.5724637681124,-33054.57246376811,0.215625,33.2039,4.4666,2.8961,16.6439,0.0,3.2623,1.4658,-1825.5484,1.0,0.0,1.252248,0.7754,0.3647,0.0,1.0,QUALIFIED
23831,-4237.83974358975,-33143.25,0.0975,33.4135,4.9874,2.1564,11.7763,0.0,4.2479,1.4099,-1814.1418,1.0,0.0,2.316247,0.7323,0.3859,0.0,1.0,QUALIFIED
23841,-12544.728110599077,-32712.760368663585,1.35625,35.0359,9.2117,4.4266,25.3068,0.0009,7.917,3.3142,-538.8959,1.0,0.0,7.311976,0.2443,0.395,1.0,1.0,QUALIFIED
23843,321.79729729730025,-33117.70945945945,0.4625,33.1198,4.2322,2.9103,18.0152,0.0,3.5033,1.9016,-1770.6389,1.0,0.004054,0.0,0.4445,0.4193,0.0,1.0,QUALIFIED
23878,-3868.0465838509263,-33235.29192546585,0.20125,33.4601,7.6437,4.4619,21.4129,0.0,5.5204,2.6266,-1829.0716,1.0,0.0,1.873833,0.7441,0.4039,0.0,1.0,QUALIFIED
23901,-2167.432624113477,-33439.74822695035,0.3525,33.5104,4.4798,2.3296,12.3833,0.0,3.3718,1.1187,-1809.5923,1.0,0.0,0.176777,0.406,0.4422,0.0,1.0,QUALIFIED
23904,-228.2777777777737,-33230.7091503268,0.095625,33.232,5.899,2.7354,13.7613,0.0,4.3743,1.2531,-1792.1522,1.0,0.019608,0.0,0.8277,0.3331,0.0,1.0,QUALIFIED
23911,-6543.718954248368,-33403.01307189543,0.19125,34.0383,5.6667,3.4695,17.9783,0.0,4.2595,1.8648,-1807.9878,1.0,0.0,4.486925,0.7834,0.3497,0.0,1.0,QUALIFIED
23915,-315.8100775193816,-33492.523255813954,0.080625,33.4945,4.005,2.0453,11.9082,0.0,3.1147,1.2169,-1792.334,1.0,0.0,0.05,0.8012,0.3134,0.0,1.0,QUALIFIED
23916,-129.87062937062728,-33559.81468531469,0.089375,33.5606,2.792,1.9327,10.3423,0.0,2.3028,1.0013,-1786.6926,1.0,0.0,0.055902,0.518,0.3865,0.0,1.0,QUALIFIED
23923,-3313.815217391304,-33402.489130434784,0.1725,33.5669,5.3047,3.1245,16.6062,0.0,3.7271,1.2037,-1824.022,1.0,0.0,1.311726,0.7662,0.3618,0.0,1.0,QUALIFIED
23932,-1331.397177419356,-33403.784274193546,0.31,33.4308,3.67,2.6351,17.7039,0.0,2.7533,1.1733,-1821.8717,1.0,0.002016,0.0,0.4422,0.416,0.0,1.0,QUALIFIED
23979,-11847.35650887574,-33465.10650887573,0.4225,35.5006,9.0975,4.1002,25.8281,0.0015,7.7747,2.5345,-536.7827,1.0,0.0,7.94119,0.3121,0.4101,1.0,1.0,QUALIFIED
23981,-1794.2919463087237,-33678.02348993289,0.093125,33.7263,3.3442,1.9149,9.2044,0.0,2.8004,0.93,-1821.3997,1.0,0.04698,0.0,0.4486,0.4168,0.0,1.0,QUALIFIED
23987,-2657.5870535714275,-33540.125,0.56,33.6457,3.9141,2.0731,16.5314,0.0,3.0507,1.2133,-1826.3365,1.0,0.0,0.4,0.652,0.4179,0.0,1.0,QUALIFIED
23988,1655.6728395061727,-33638.512345679,0.253125,33.6798,7.2102,3.9567,20.8128,0.0,6.1975,3.254,-1754.082,1.0,0.024691,0.0,0.4528,0.4497,0.995062,1.0,QUALIFIED
23992,-4530.3888888888905,-33675.22222222222,0.5625,33.979,6.3435,3.9552,29.139,0.0011,5.6344,3.4894,-1826.6038,1.0,0.0,2.192316,0.6593,0.4179,0.0,1.0,QUALIFIED
24030,-240.6627218934882,-33990.25443786982,0.21125,33.9916,4.2572,2.6067,13.2095,0.0,3.0758,1.1125,-1798.747,1.0,0.0,0.025,0.6092,0.3883,0.0,1.0,QUALIFIED
24031,373.4436619718326,-33768.38604353393,0.488125,33.771,5.9819,3.2954,25.0507,0.0013,4.2777,1.6053,-1793.8688,1.0,0.014085,0.0,0.5601,0.4224,0.012804,1.0,QUALIFIED
24032,-26714.01304945055,-34188.03021978022,0.91,43.3874,6.2217,3.6427,27.7142,0.0014,5.0594,2.5044,-5748.8302,1.0,0.144918,0.0,1.0,0.0,1.0,1.0,QUALIFIED
24038,21211.170020120728,-33993.061368209266,0.310625,40.0687,6.0624,3.1612,18.4378,0.0,5.4122,2.0216,-411.5921,1.0,0.0,7.189228,0.0266,0.1264,0.0,1.0,QUALIFIED
24081,-492.3079096045185,-34186.92937853107,0.110625,34.191,4.889,2.2894,13.0616,0.0,4.1199,1.1738,-1800.0165,1.0,0.028249,0.0,0.6179,0.4189,0.0,1.0,QUALIFIED
24086,-2692.1666666666715,-34071.72222222222,0.106875,34.1784,4.2276,2.4101,14.1117,0.0,3.5996,2.1176,-1831.0781,1.0,0.0,0.728011,0.822,0.3296,0.0,1.0,QUALIFIED
24102,-5725.916666666664,-34166.30555555556,0.1125,34.6432,5.2983,3.0768,16.7709,0.0,4.7684,1.8512,-1819.1062,1.0,0.0,3.609016,0.8087,0.3204,0.0,1.0,QUALIFIED
24118,-27149.827956989247,-34450.30645161291,0.2325,43.8628,6.3064,3.6927,19.0654,0.0,4.4304,2.5089,-5763.9343,1.0,0.319892,0.0,1.0,0.0,1.0,1.0,QUALIFIED
