region_id,area_px,area_km2,fill_ratio,bbox_aspect,centroid_row,centroid_col,geo_x,geo_y,dist_from_centre_km,bbox_r0,bbox_c0,bbox_r1,bbox_c1,slope_mean_deg,slope_std_deg,slope_max_deg,roughness_mean_m,roughness_std_m,elev_mean_m,lola_valid_pct,pct_gt25,shadow_fraction,shadow_std,shadow_valid_px,dfsar_cpr_mean,dfsar_cpr_median,dfsar_cpr_std,dfsar_valid_pct,dfsar_cov_mean,minirf_s1_log_mean,minirf_s1_log_median,minirf_s1_log_std,minirf_valid_pct,minirf_cov_mean,m3_b09_750nm,m3_b22_1010nm,m3_b56_1818nm,m3_b61_2018nm,m3_b74_2537nm,m3_b81_2817nm,m3_b84_2936nm,m3_b85_2976nm,m3_valid_px,m3_valid_pct,grail_anom_context,grail_boug_context,psr_fraction,dist_to_psr_km,illumination_mean,illumination_min,qualification_status,disqualification_reason,BD1000,BD2000,OH_SPECTRAL_INDICATOR,ICE_SPECTRAL_INDICATOR,dfsar_ok,minirf_ok,radar_flag,dfsar_cpr_class,cpr_norm,s1_norm,Radar_Score,radar_data_source,ICE_SPECTRAL_INDICATOR_norm,OH_SPECTRAL_INDICATOR_norm,BD1000_norm,BD2000_norm,Science_Composite,Evidence_Convergence_Count,evidence_band,n_valid_spectral,rank_by_composite_only,rank
9163,307,0.191875,0.6463,1.32,1395.560261,3221.140065,35053.00163,10586.49349,36.6171,1383,3213,1408,3232,6.8189,3.6544,18.0353,5.6308,2.3572,-1439.9092,1,0,0.4764,0.4626,307,0.21893,0.193128,0.080005,1,1,,,,0,0,-0.00045,7.40E-05,0.003901,-0.001347,0.003056,-0.002374,0.001021,-0.004162,307,1,31.5436,77.8519,0,2.102974,,,QUALIFIED,,,1.345296,1.776832,5.076396,TRUE,FALSE,CPR_ONLY,normal_low,0.250210981,,0.250211,CPR_ONLY,0.228678,0.150816,0,0.188987,0.192729,4,HIGH_CONVERGENCE,3,15,2
10987,201,0.125625,0.6281,1.25,1563.835821,3166.402985,33684.57463,6379.604478,34.2838,1556,3158,1572,3178,5.8636,2.4608,18.1396,4.6902,1.3026,-1771.1849,1,0,1,0,201,0.161722,0.163341,0.022442,1,1,,,,0,0,0.001113,-0.014761,0.000748,-0.000591,0.002237,-0.001564,0.004388,0.000245,201,1,25.3927,84.5067,0,6.640783,,,QUALIFIED,,14.262354,,1.699151,0.944166,TRUE,FALSE,CPR_ONLY,normal_low,0.170542312,,0.170542,CPR_ONLY,0.042532,0.144223,1,0,0.192767,3,MODERATE_CONVERGENCE,3,14,9
6912,133,0.083125,0.5938,1.14,1163.548872,2197.714286,9467.357143,16386.7782,18.9249,1156,2190,1170,2206,7.5689,2.9458,14.797,6.4475,1.5041,-1163.1182,1,0,0.8247,0.3113,133,0.225236,0.221752,0.055259,1,1,,,,0,0,0.001926,0.000372,-0.002163,0.001261,0.002288,0.001216,0.001288,-0.008268,133,1,53.7768,91.9349,0,4.376143,,,QUALIFIED,,0.806854,,0.468531,7.419255,TRUE,FALSE,CPR_ONLY,normal_low,0.258992806,,0.258993,CPR_ONLY,0.334218,0.039769,0.056572,0,0.191574,3,MODERATE_CONVERGENCE,3,17,11
10385,165,0.103125,0.7051,1.38,1499.290909,3098.515152,31987.37879,7993.227273,32.9713,1494,3090,1507,3108,6.8611,3.3259,16.5719,5.6396,2.0282,-1552.9879,1,0,0.0206,0.1012,165,0.261765,0.264568,0.044804,1,1,,,,0,0,0.00256,-0.003916,-0.000152,-0.001041,0.001326,-0.004667,-0.00812,-0.002807,165,1,25.3927,84.5067,0,5.803286,,,QUALIFIED,,2.529687,,4.519608,,TRUE,FALSE,CPR_ONLY,normal_low,0.309863607,,0.309864,CPR_ONLY,0,0.383621,0.177368,0,0.18742,3,MODERATE_CONVERGENCE,2,21,13
7687,185,0.115625,0.3083,1.04,1255.827027,2748.291892,23231.7973,14079.82432,27.1655,1246,2736,1270,2761,5.2385,2.3609,11.1254,4.7004,1.9762,-2037.8621,1,0,0.1587,0.2985,185,0.248993,0.249579,0.050257,1,1,,,,0,0,0.012182,0.005157,0.003217,0.005593,0.010957,-0.000762,0.002785,-0.010528,185,1,33.5851,91.8903,0,6.460698,,,QUALIFIED,,0.57667,-0.738576,1.069545,4.780251,TRUE,FALSE,CPR_ONLY,normal_low,0.29207714,,0.292077,CPR_ONLY,0.215338,0.090782,0.040433,0,0.174424,3,MODERATE_CONVERGENCE,4,32,15
12486,806,0.50375,0.5905,1.11,1729.248139,3239.354839,35508.37097,2244.296526,35.5797,1711,3224,1750,3259,6.3038,2.6261,18.2964,5.2369,1.5797,-1570.7315,1,0,0.8078,0.3717,806,0.195505,0.190931,0.044547,0.858561,0.858561,,,,0,0,0.001139,-1.60E-05,0.001165,-0.007128,-0.00054,-0.000478,-0.005729,-0.000989,806,1,63.3495,86.7715,0,9.982485,,,QUALIFIED,,1.014047,7.118455,,,TRUE,FALSE,CPR_ONLY,normal_low,0.217588995,,0.217589,CPR_ONLY,0,0,0.0711,1,0.172387,3,MODERATE_CONVERGENCE,2,34,16
9162,255,0.159375,0.483,1.09,1386.694118,2896.87451,26946.36275,10808.14706,29.0334,1377,2884,1399,2908,6.1243,2.9801,17.3592,5.3533,1.428,-2040.1933,1,0,0.9715,0.1294,255,0.201666,0.195662,0.0335,1,1,,,,0,0,0.00647,0.002271,-8.70E-05,-0.001067,0.001326,-0.006262,-0.01628,-0.016299,255,1,25.3927,84.5067,0,6.576188,,,QUALIFIED,,0.648995,,5.722474,,TRUE,FALSE,CPR_ONLY,normal_low,0.226168891,,0.226169,CPR_ONLY,0,0.48572,0.045504,0,0.169545,3,MODERATE_CONVERGENCE,2,36,17
3628,183,0.114375,0.4973,1.44,755.6284153,2725.31694,22657.4235,26584.78962,34.93,746,2717,769,2733,8.7338,3.8839,17.3236,8.5206,3.5367,-2510.7224,1,0,0.3185,0.44,183,0.579204,0.579694,0.093495,1,1,0.174,0.187417,0.037233,1,1,0.005387,0.006996,0.016148,0.008752,0.012677,0.012714,0.0093,0.004256,183,1,-8.8513,82.0245,0,8.162414,,,QUALIFIED,,-0.298682,0.458013,-0.002919,0.542366,TRUE,TRUE,BOTH,typical,0.751933645,0.263214832,0.507574,BOTH,0.024432,0,0,0.064342,0.166036,3,MODERATE_CONVERGENCE,4,39,18
